sku,nome,categoria,marca,custo,imposto,preco,descricao,mlb_principal,mlb_ids,qtd_anuncios_mlb,updated_at,sku_key,cg_unnamed: 0,cg_sku,cg_oem,cg_product name,cg_product description,cg_tradução ptbr  ou nome na bling,cg_material,cg_material ptbr,cg_embalagem individual,cg_embalagem individual ptbr,cg_medidas individuas,cg_unnamed: 12,cg_unnamed: 13,cg_m³ individual,cg_peso individual,cg_individual size,cg_para quer serve,cg_onde será ultilizado,cg_finalizade,"cg_país do 
fabricante / produtor","cg_fabricante/produtor 
conhecido",cg_nome (fabricante / produtor),"cg_logradouro 
(fabricante / produtor)","cg_número 
(fabricante / produtor)","cg_cidade 
(fabricante / produtor)","cg_complemento 
(fabricante / produtor)","cg_estado 
(fabricante / produtor)","cg_denominação 
do produto","cg_detalhamento complementar 
do produto",titulos_anuncios_mlb,gtins_mlb,custos_frete_mlb,modalidades_mlb,custo_attr,imposto_attr,foto
350-1,,,,,,,,MLB2077459394,MLB2077459394|MLB3558151207,2.0,25/03/2026 12:53,350-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tapete De Atividades Para Bebes Inflavel Interativo Aquario || Tapete De Água Inflável Atividades Infantil Almofada Bebê,07899658319090|7895141632349,"R$ 7,85|R$ 8,05",Premium,,,
351,,,,199.48,24.0,,,,,,25/03/2026 12:53,351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199.48,24.0,
352,Electric vehicle window controls,Manutenção automotiva,"Tianmen Fengcheng Trading Co. Ltd.
",49.17,24.0,,"Controles de janela de veículo elétrico, Material:
Plástico e metal, caixa de papelão",MLB2121300018,MLB2121300018|MLB2121300019|MLB2121318800|MLB3079660599|MLB3079691929,5.0,25/03/2026 12:53,352,SKU 352,352,SKU 352,Electric vehicle window controls,"Electric vehicle window controls,  Material:
Plastic and metal, cardboard box","Controles de janela de veículo elétrico, Material:
Plástico e metal, caixa de papelão"," Material:
Plastic and metal","Material:
Plástico e metal",cardboard box,caixa de papelão,,,,0.0,,Individual Size xxCM,Manutenção automotiva,Em veículos automotores compatíveis,Revenda online,"160 - CHINA, REPÚBLICA POPULAR","Tianmen Fengcheng Trading Co. Ltd.
","Tianmen Fengcheng Trading Co. Ltd.
","Jingling Street, E-Commerce Industrial Park",S/N,Tianmen,Room 301,Hubei Province,controles de janela de veículo elétrico,"Controles de janela de veículo elétrico, Material:
Plástico e metal, caixa de papelão",Botão Vidro Elétrico Sprinter 311/415/515 Esquerdo Motorista || Comando Botao Vidro Eletrico Sprinter 311/ 415/ 515 3 Plugs || Comando Botão Interruptor Vidro Eletrico Sprinter Cdi 415 || Painel Botão Vidro Eletrico Sprinter 415 2017 2018 2019 2021,7895141626911,"R$ 18,45|R$ 20,95",Premium,49.17,24.0,cadastro_fotos/352.png
353,Vehicle oil filter,Manutenção automotiva,"Tianmen Fengcheng Trading Co. Ltd.
",52.41,24.0,,"Filtro de óleo para veículos, Material:
Plástico e metal, saco plástico",,,,25/03/2026 12:53,353,SKU 353,353,"114388
SKU:353",Vehicle oil filter,"Vehicle oil filter,  Material:
Plastic and metal, plastic bag","Filtro de óleo para veículos, Material:
Plástico e metal, saco plástico"," Material:
Plastic and metal","Material:
Plástico e metal",plastic bag,saco plástico,,,,0.0,,Individual Size xxCM,Manutenção automotiva,Em veículos automotores compatíveis,Revenda online,"160 - CHINA, REPÚBLICA POPULAR","Tianmen Fengcheng Trading Co. Ltd.
","Tianmen Fengcheng Trading Co. Ltd.
","Jingling Street, E-Commerce Industrial Park",S/N,Tianmen,Room 301,Hubei Province,Filtro de óleo do veículo,"Filtro de óleo para veículos, Material:
Plástico e metal, saco plástico",,,,,52.41,24.0,cadastro_fotos/353.png
354,Vehicle fuel level sensor,Manutenção automotiva,"Tianmen Fengcheng Trading Co. Ltd.
",44.16,24.0,,"Sensor de nível de combustível do veículo, Material: Plástico ABS e metal, Tamanho individual 29x10x8CM, embalagem plástica",MLB2116318330,MLB2116318330|MLB2116324585|MLB2116337476|MLB3076878592|MLB3076885083,5.0,25/03/2026 12:53,354,SKU 354,354,"MB571603
SKU:354",Vehicle fuel level sensor ,"Vehicle fuel level sensor ,  Material: Plastic ABS and metal, Individual Size 29x10x8CM, plastic bag","Sensor de nível de combustível do veículo, Material: Plástico ABS e metal, Tamanho individual 29x10x8CM, embalagem plástica", Material: Plastic ABS and metal,Material: Plástico ABS e metal,plastic bag,saco plástico,29.0,10.0,8.0,0.00232,153,Individual Size 29x10x8CM,Manutenção automotiva,Em veículos automotores compatíveis,Revenda online,"160 - CHINA, REPÚBLICA POPULAR","Tianmen Fengcheng Trading Co. Ltd.
","Tianmen Fengcheng Trading Co. Ltd.
","Jingling Street, E-Commerce Industrial Park",S/N,Tianmen,Room 301,Hubei Province,sensor de nível de combustível do veículo,"Sensor de nível de combustível do veículo, Material: Plástico ABS e metal, Tamanho individual 29x10x8CM, embalagem plástica",Boia Do Tanque De Pajero Gls-b Glx 2.8 8v Diesel 1990 A 2000 || Medidor De Combustivel Pajero Gls-b 2.8 8v Diesel 90 A 2000 || Sensor De Nivel Tanque Pajero 2.8 1992 Até 2000 || Sensor Do Nivel Combustivel Pajero Gls-b 2.8 Diesel 90 A 00 || Sensor Nivel Combustivel Pajero 2.0 2.5 2.8 3.0 3.5 90 A 01,7895139518815,"R$ 19,85|R$ 22,55|R$ 23,65",Clássico|Premium,44.16,24.0,cadastro_fotos/354.png
355,Electric vehicle window controls,Manutenção automotiva,"Tianmen Fengcheng Trading Co. Ltd.
",65.3,24.0,,"Controles de janela para veículos elétricos, Material: Plástico e metal, caixa de papelão",,,,25/03/2026 12:53,355,SKU 355,355,6395451013,Electric vehicle window controls,"Electric vehicle window controls,  Material:Plastic and metal, cardboard box","Controles de janela para veículos elétricos, Material: Plástico e metal, caixa de papelão", Material:Plastic and metal,Material: Plástico e metal,cardboard box,caixa de papelão,,,,0.0,,Individual Size xxCM,Manutenção automotiva,Em veículos automotores compatíveis,Revenda online,"160 - CHINA, REPÚBLICA POPULAR","Tianmen Fengcheng Trading Co. Ltd.
","Tianmen Fengcheng Trading Co. Ltd.
","Jingling Street, E-Commerce Industrial Park",S/N,Tianmen,Room 301,Hubei Province,controles de janela de veículo elétrico,"Controles de janela para veículos elétricos, Material: Plástico e metal, caixa de papelão",,,,,65.3,24.0,cadastro_fotos/355.png
357,Spiral drill bit for soil drilling,Broca para solo,"Tianmen Fengcheng Trading Co. Ltd.
",12.66,24.0,,"Broca espiral para perfuração de solo, Material: Metal, saco plástico",MLB2127140953,MLB2127140953|MLB2127160487|MLB3584436853|MLB3584541045,4.0,25/03/2026 12:53,357,SKU 357,357,SKU 357,Spiral drill bit for soil drilling,"Spiral drill bit for soil drilling,  Material:Metal, plastic bag","Broca espiral para perfuração de solo, Material: Metal, saco plástico", Material:Metal,Material: Metal,plastic bag,saco plástico,,,,0.0,,Individual Size xxCM,Broca para solo,Uso doméstico,Revenda online,"160 - CHINA, REPÚBLICA POPULAR","Tianmen Fengcheng Trading Co. Ltd.
","Tianmen Fengcheng Trading Co. Ltd.
","Jingling Street, E-Commerce Industrial Park",S/N,Tianmen,Room 301,Hubei Province,Broca espiral para perfuração de solo,"Broca espiral para perfuração de solo, Material: Metal, saco plástico",Broca Furo Espiral Para Plantio Jardim Portátil Uso Fácil || Broca Jardim Espiral Ferramenta Escavadeira Buraco Plantio || Super Broca Helicoidal P/ Solo Terra Jardim Espiral Metal || Super Broca Perfurador Solo Terra Jardim Espiral De Metal,789123400224|7895141626935|7895141635876|7895141635883,"R$ 7,85|R$ 7,95",Clássico|Premium,12.66,24.0,cadastro_fotos/357.png
358,Palm Rejection Stylus Pen for Tablet,Acessório para celulares e tablet,"Tianmen Fengcheng Trading Co. Ltd.
",22.72,24.0,,"Caneta Stylus com Rejeição de Palma para Tablet, Material:
Plástico e metal, Tamanho individual 21x6,5x2CM, caixa de papelão",MLB3438431953,MLB3438431953|MLB3866615819|MLB3899732231|MLB4106425531,4.0,25/03/2026 12:53,358,SKU 358,358,SKU 358,Palm Rejection Stylus Pen for Tablet,"Palm Rejection Stylus Pen for Tablet,  Material:
Plastic and metal, Individual Size 21x6,5x2CM, cardboard box","Caneta Stylus com Rejeição de Palma para Tablet, Material:
Plástico e metal, Tamanho individual 21x6,5x2CM, caixa de papelão"," Material:
Plastic and metal","Material:
Plástico e metal",cardboard box,caixa de papelão,21.0,6.5,2.0,0.000273,8,"Individual Size 21x6,5x2CM",Acessório para celulares e tablet,Uso doméstico,Revenda online,"160 - CHINA, REPÚBLICA POPULAR","Tianmen Fengcheng Trading Co. Ltd.
","Tianmen Fengcheng Trading Co. Ltd.
","Jingling Street, E-Commerce Industrial Park",S/N,Tianmen,Room 301,Hubei Province,Caneta Stylus com Rejeição de Palma para Tablet,"Caneta Stylus com Rejeição de Palma para Tablet, Material:
Plástico e metal, Tamanho individual 21x6,5x2CM, caixa de papelão",Caneta Stylus Com Palm Rejection iPad 9 Geração 10.2 || Caneta Stylus Com Palm Rejection iPad 9 Geração 10.2 2021,789123400224|7895141625716|7899126413725,"R$ 19,85|R$ 7,85|R$ 8,05",Clássico|Premium,22.72,24.0,cadastro_fotos/358.png
360,Crankshaft seal on flywheel side,Manutenção automotiva,"Tianmen Fengcheng Trading Co. Ltd.
",26.4,24.0,,"Retentor do virabrequim no lado do volante, Material: Plástico, embalagem plástica",MLB2108564402,MLB2108564402|MLB2108564404|MLB2108581259|MLB4006302981,4.0,25/03/2026 12:53,360,SKU 360,360,SKU 360,Crankshaft seal on flywheel side,"Crankshaft seal on flywheel side, Material: Plastic , plastic bag","Retentor do virabrequim no lado do volante, Material: Plástico, embalagem plástica",Material: Plastic ,Material: Plástico,plastic bag,saco plástico,,,,0.0,,Individual Size xxCM,Manutenção automotiva,Em veículos automotores compatíveis,Revenda online,"160 - CHINA, REPÚBLICA POPULAR","Tianmen Fengcheng Trading Co. Ltd.
","Tianmen Fengcheng Trading Co. Ltd.
","Jingling Street, E-Commerce Industrial Park",S/N,Tianmen,Room 301,Hubei Province,Retentor do virabrequim no lado do volante,"Retentor do virabrequim no lado do volante, Material: Plástico, embalagem plástica",Retentor Do Virabrequim Lado Volante Civic 1.6 1996 A 2000 || Retentor Do Virabrequim Lado Volante Civic 1.7 2001 A 2005 || Retentor Do Virabrequim Lado Volante Honda Civic 1.7 E 1.6,7895139518792|7895141634664|7895141634671,"R$ 15,45|R$ 21,15|R$ 22,55|R$ 7,85",Clássico|Premium,26.4,24.0,cadastro_fotos/360.png
361,Replacement LCD display for satellite dish configuration devices.,Manutenção automotiva,"Tianmen Fengcheng Trading Co. Ltd.
",94.17,24.0,,"Visor LCD de substituição para dispositivos de configuração de antenas parabólicas. Material:
Plástico, vidro e metal, caixa de papelão.",MLB2152568189,MLB2152568189|MLB2152605963|MLB2152622019|MLB3287240077|MLB4233190554|MLB4233340414,6.0,25/03/2026 12:53,361,SKU 361,361,SKU 361,Replacement LCD display for satellite dish configuration devices.,"Replacement LCD display for satellite dish configuration devices.,  Material:
Plastic glass and metal, cardboard box","Visor LCD de substituição para dispositivos de configuração de antenas parabólicas. Material:
Plástico, vidro e metal, caixa de papelão."," Material:
Plastic glass and metal","Material:
Plástico, vidro e metal",cardboard box,caixa de papelão,,,,0.0,,Individual Size xxCM,Manutenção automotiva,Em veículos automotores compatíveis,Revenda online,"160 - CHINA, REPÚBLICA POPULAR","Tianmen Fengcheng Trading Co. Ltd.
","Tianmen Fengcheng Trading Co. Ltd.
","Jingling Street, E-Commerce Industrial Park",S/N,Tianmen,Room 301,Hubei Province,Visor LCD de substituição para dispositivos de configuração de antenas parabólicas.,"Visor LCD de substituição para dispositivos de configuração de antenas parabólicas. Material:
Plástico, vidro e metal, caixa de papelão.",Display Satlink Tela Lcd 6909 6912 6918 6906 6908 - Novo || Display Tela Lcd Satlink Ws 6950 Hd 3.5 Polegadas || Display Tela Satlink Lcd 6906 6908 6909 6912 6918 Original || Tela Original 3.5 Lcd Satlink Ws-6902 6905 6906 6908 6909...,789123400224|7895141633407|7895141633414|7898915949193,"R$ 20,95",Clássico|Premium,94.17,24.0,cadastro_fotos/361.png
362,Vehicle fuel pump cover,Manutenção automotiva,"Tianmen Fengcheng Trading Co. Ltd.
",131.56,24.0,,"Tampa da bomba de combustível do veículo, Material:
Plástico e metal, caixa de plástico",,,,25/03/2026 12:53,362,SKU 362,362,SKU 362,Vehicle fuel pump cover,"Vehicle fuel pump cover,  Material:
Plastic and metal, plastic box","Tampa da bomba de combustível do veículo, Material:
Plástico e metal, caixa de plástico"," Material:
Plastic and metal","Material:
Plástico e metal",plastic box,caixa de plástico,,,,0.0,,Individual Size xxCM,Manutenção automotiva,Em veículos automotores compatíveis,Revenda online,"160 - CHINA, REPÚBLICA POPULAR","Tianmen Fengcheng Trading Co. Ltd.
","Tianmen Fengcheng Trading Co. Ltd.
","Jingling Street, E-Commerce Industrial Park",S/N,Tianmen,Room 301,Hubei Province,Tampa da bomba de combustível do veículo,"Tampa da bomba de combustível do veículo, Material:
Plástico e metal, caixa de plástico",,,,,131.56,24.0,cadastro_fotos/362.png
363,Buttons on the steering wheel to control the vehicle's sound,Manutenção automotiva,"Tianmen Fengcheng Trading Co. Ltd.
",80.62,24.0,,"Botões no volante para controlar o som do veículo, Material:
Plástico e metal, Tamanho individual 20x10x7CM, caixa de papelão",MLB2131159219,MLB2131159219|MLB2131178655|MLB4373163012|MLB4498882640,4.0,25/03/2026 12:53,363,SKU 363,363,SKU 363,Buttons on the steering wheel to control the vehicle's sound,"Buttons on the steering wheel to control the vehicle's sound,  Material:
Plastic and metal, Individual Size 20x10x7CM, cardboard box","Botões no volante para controlar o som do veículo, Material:
Plástico e metal, Tamanho individual 20x10x7CM, caixa de papelão"," Material:
Plastic and metal","Material:
Plástico e metal",cardboard box,caixa de papelão,20.0,10.0,7.0,0.0014,,Individual Size 20x10x7CM,Manutenção automotiva,Em veículos automotores compatíveis,Revenda online,"160 - CHINA, REPÚBLICA POPULAR","Tianmen Fengcheng Trading Co. Ltd.
","Tianmen Fengcheng Trading Co. Ltd.
","Jingling Street, E-Commerce Industrial Park",S/N,Tianmen,Room 301,Hubei Province,Botões no volante para controlar o som do veículo.,"Botões no volante para controlar o som do veículo, Material:
Plástico e metal, Tamanho individual 20x10x7CM, caixa de papelão",Comando Som Volante L200 Triton Pajero Dakar Outlender || Par Comando Botão Som Volante Pajero Dakar L200 Triton Asx || Par Comando Botão Volante Pajero Dakar L200 Triton Asx Full || Par Comando Cruzeiro Som Volante Pajero L200 Outlander Asx,789123400224|7895141626959|7895141635166|7895141636842,"R$ 20,95|R$ 22,55",Clássico|Premium,80.62,24.0,cadastro_fotos/363.png
364,Cell phone adapter for induction charging,Acessório para celulares e tablet,"Tianmen Fengcheng Trading Co. Ltd.
",,,,"Adaptador para celular para carregamento por indução, Material:
Plástico e metal, caixa de papelão",,,,25/03/2026 12:53,364,SKU 364,364,SKU 364-1,Cell phone adapter for induction charging,"Cell phone adapter for induction charging,  Material:
Plastic and metal, cardboard box","Adaptador para celular para carregamento por indução, Material:
Plástico e metal, caixa de papelão"," Material:
Plastic and metal","Material:
Plástico e metal",cardboard box,caixa de papelão,,,,0.0,,Individual Size xxCM,Acessório para celulares e tablet,Uso doméstico,Revenda online,"160 - CHINA, REPÚBLICA POPULAR","Tianmen Fengcheng Trading Co. Ltd.
","Tianmen Fengcheng Trading Co. Ltd.
","Jingling Street, E-Commerce Industrial Park",S/N,Tianmen,Room 301,Hubei Province,Adaptador de celular para carregamento por indução,"Adaptador para celular para carregamento por indução, Material:
Plástico e metal, caixa de papelão",,,,,,,cadastro_fotos/364.png
364-1,Cell phone adapter for induction charging,Acessório para celulares e tablet,"Tianmen Fengcheng Trading Co. Ltd.
",7.59,24.0,,"Adaptador para celular para carregamento por indução, Material:
Plástico e metal, caixa de papelão",-,-|MLB4266161825,2.0,25/03/2026 12:53,364-1,SKU 364-1,364-1,SKU 364-1,Cell phone adapter for induction charging,"Cell phone adapter for induction charging,  Material:
Plastic and metal, cardboard box","Adaptador para celular para carregamento por indução, Material:
Plástico e metal, caixa de papelão"," Material:
Plastic and metal","Material:
Plástico e metal",cardboard box,caixa de papelão,,,,0.0,,Individual Size xxCM,Acessório para celulares e tablet,Uso doméstico,Revenda online,"160 - CHINA, REPÚBLICA POPULAR","Tianmen Fengcheng Trading Co. Ltd.
","Tianmen Fengcheng Trading Co. Ltd.
","Jingling Street, E-Commerce Industrial Park",S/N,Tianmen,Room 301,Hubei Province,Adaptador de celular para carregamento por indução,"Adaptador para celular para carregamento por indução, Material:
Plástico e metal, caixa de papelão",- || Adaptador Sem Fio Wireless Qi Indução Receptor Universal Cor Type-a,"7891234000224,7895139519034,7895141626966|789123400224,7895139519188,7895141626966|7895141626966,7895139519188|7895141635180","-|R$ 7,75",-|Clássico,7.59,24.0,cadastro_fotos/364-1.png
364-2,Cell phone adapter for induction charging,Acessório para celulares e tablet,"Tianmen Fengcheng Trading Co. Ltd.
",10.89,24.0,,"Adaptador para celular para carregamento por indução, Material:
Plástico e metal, caixa de papelão",-,-,1.0,25/03/2026 12:53,364-2,SKU 364-2,364-2,SKU 364-2,Cell phone adapter for induction charging,"Cell phone adapter for induction charging,  Material:
Plastic and metal, cardboard box","Adaptador para celular para carregamento por indução, Material:
Plástico e metal, caixa de papelão"," Material:
Plastic and metal","Material:
Plástico e metal",cardboard box,caixa de papelão,,,,0.0,,Individual Size xxCM,Acessório para celulares e tablet,Uso doméstico,Revenda online,"160 - CHINA, REPÚBLICA POPULAR","Tianmen Fengcheng Trading Co. Ltd.
","Tianmen Fengcheng Trading Co. Ltd.
","Jingling Street, E-Commerce Industrial Park",S/N,Tianmen,Room 301,Hubei Province,Adaptador de celular para carregamento por indução,"Adaptador para celular para carregamento por indução, Material:
Plástico e metal, caixa de papelão",-,"7891234000224,7895139519041,7895141625730|789123400224,7895139519195,7895141625730|7895141635197",-,-,10.89,24.0,cadastro_fotos/364-2.png
364-3,Cell phone adapter for induction charging,Acessório para celulares e tablet,"Tianmen Fengcheng Trading Co. Ltd.
",10.89,24.0,,"Adaptador para celular para carregamento por indução, Material:
Plástico e metal, caixa de papelão",-,-,1.0,25/03/2026 12:53,364-3,SKU 364-3,364-3,SKU 364-3,Cell phone adapter for induction charging,"Cell phone adapter for induction charging,  Material:
Plastic and metal, cardboard box","Adaptador para celular para carregamento por indução, Material:
Plástico e metal, caixa de papelão"," Material:
Plastic and metal","Material:
Plástico e metal",cardboard box,caixa de papelão,,,,0.0,,Individual Size xxCM,Acessório para celulares e tablet,Uso doméstico,Revenda online,"160 - CHINA, REPÚBLICA POPULAR","Tianmen Fengcheng Trading Co. Ltd.
","Tianmen Fengcheng Trading Co. Ltd.
","Jingling Street, E-Commerce Industrial Park",S/N,Tianmen,Room 301,Hubei Province,Adaptador de celular para carregamento por indução,"Adaptador para celular para carregamento por indução, Material:
Plástico e metal, caixa de papelão",-,"7891234000224,7895139519058,7895139519164|789123400224,7895139519201,7895139519164|7895141635203",-,-,10.89,24.0,cadastro_fotos/364-3.png
364-4,Cell phone adapter for induction charging,Acessório para celulares e tablet,"Tianmen Fengcheng Trading Co. Ltd.
",10.89,24.0,,"Adaptador para celular para carregamento por indução, Material:
Plástico e metal, caixa de papelão",-,-,1.0,25/03/2026 12:53,364-4,SKU 364-4,364-4,SKU 364-4,Cell phone adapter for induction charging,"Cell phone adapter for induction charging,  Material:
Plastic and metal, cardboard box","Adaptador para celular para carregamento por indução, Material:
Plástico e metal, caixa de papelão"," Material:
Plastic and metal","Material:
Plástico e metal",cardboard box,caixa de papelão,,,,0.0,,Individual Size xxCM,Acessório para celulares e tablet,Uso doméstico,Revenda online,"160 - CHINA, REPÚBLICA POPULAR","Tianmen Fengcheng Trading Co. Ltd.
","Tianmen Fengcheng Trading Co. Ltd.
","Jingling Street, E-Commerce Industrial Park",S/N,Tianmen,Room 301,Hubei Province,Adaptador de celular para carregamento por indução,"Adaptador para celular para carregamento por indução, Material:
Plástico e metal, caixa de papelão",-,"7891234000224,7895139519065|789123400224,7895139519218,7895139519065|7895141635173",-,-,10.89,24.0,cadastro_fotos/364-4.png
365,Vehicle fuel pump cover,Manutenção automotiva,"Tianmen Fengcheng Trading Co. Ltd.
",46.2,24.0,,"Tampa da bomba de combustível do veículo, Material: Plástico, Tamanho individual 14x6x6CM, embalagem plástica",,,,25/03/2026 12:53,365,SKU 365,365,SKU 365,Vehicle fuel pump cover,"Vehicle fuel pump cover, Material: Plastic , Individual Size 14x6x6CM, plastic bag","Tampa da bomba de combustível do veículo, Material: Plástico, Tamanho individual 14x6x6CM, embalagem plástica",Material: Plastic ,Material: Plástico,plastic bag,saco plástico,14.0,6.0,6.0,0.000504,,Individual Size 14x6x6CM,Manutenção automotiva,Em veículos automotores compatíveis,Revenda online,"160 - CHINA, REPÚBLICA POPULAR","Tianmen Fengcheng Trading Co. Ltd.
","Tianmen Fengcheng Trading Co. Ltd.
","Jingling Street, E-Commerce Industrial Park",S/N,Tianmen,Room 301,Hubei Province,Tampa da bomba de combustível do veículo,"Tampa da bomba de combustível do veículo, Material: Plástico, Tamanho individual 14x6x6CM, embalagem plástica",,,,,46.2,24.0,cadastro_fotos/365.png
366,3 inch LCD display for vehicle instrument panel,Manutenção automotiva,"Tianmen Fengcheng Trading Co. Ltd.
",,,,"Visor LCD de 3 polegadas para painel de instrumentos de veículos, Material:
Plástico, vidro e metal, caixa de papelão",,,,25/03/2026 12:53,366,SKU 366,366,"
8V4F-AA
SKU:366",3 inch LCD display for vehicle instrument panel,"3 inch LCD display for vehicle instrument panel,  Material:
Plastic glass and metal, cardboard box","Visor LCD de 3 polegadas para painel de instrumentos de veículos, Material:
Plástico, vidro e metal, caixa de papelão"," Material:
Plastic glass and metal","Material:
Plástico, vidro e metal",cardboard box,caixa de papelão,,,,0.0,,Individual Size xxCM,Manutenção automotiva,Em veículos automotores compatíveis,Revenda online,"160 - CHINA, REPÚBLICA POPULAR","Tianmen Fengcheng Trading Co. Ltd.
","Tianmen Fengcheng Trading Co. Ltd.
","Jingling Street, E-Commerce Industrial Park",S/N,Tianmen,Room 301,Hubei Province,Visor LCD de 3 polegadas para painel de instrumentos de veículos,"Visor LCD de 3 polegadas para painel de instrumentos de veículos, Material:
Plástico, vidro e metal, caixa de papelão",,,,,,,cadastro_fotos/366.png
367,Freewheel for 4x4 vehicles,Manutenção automotiva,"Tianmen Fengcheng Trading Co. Ltd.
",82.23,24.0,,"Roda livre para veículos 4x4, Material: Metal, caixa de papelão",,,,25/03/2026 12:53,367,SKU 367,367,"1500170 
SKU: 367",Freewheel for 4x4 vehicles,"Freewheel for 4x4 vehicles,  Material:Metal, cardboard box","Roda livre para veículos 4x4, Material: Metal, caixa de papelão", Material:Metal,Material: Metal,cardboard box,caixa de papelão,,,,0.0,,Individual Size xxCM,Manutenção automotiva,Em veículos automotores compatíveis,Revenda online,"160 - CHINA, REPÚBLICA POPULAR","Tianmen Fengcheng Trading Co. Ltd.
","Tianmen Fengcheng Trading Co. Ltd.
","Jingling Street, E-Commerce Industrial Park",S/N,Tianmen,Room 301,Hubei Province,Roda livre para veículos 4x4,"Roda livre para veículos 4x4, Material: Metal, caixa de papelão",,,,,82.23,24.0,cadastro_fotos/367.png
367-K,Pair of free-rolling wheels for 4x4 vehicles.,Manutenção automotiva,"Tianmen Fengcheng Trading Co. Ltd.
",147.7,24.0,,Conjunto de rodas livres para veículos 4x4. Material: Metal. Dimensões individuais: 17x9x9cm. Embalagem: Caixa de papelão.,,,,25/03/2026 12:53,367-K,SKU 367-K,367-K,SKU 367-K,Pair of free-rolling wheels for 4x4 vehicles.,"Pair of free-rolling wheels for 4x4 vehicles.,  Material:Metal, Individual Size 17x9x9CM, cardboard box",Conjunto de rodas livres para veículos 4x4. Material: Metal. Dimensões individuais: 17x9x9cm. Embalagem: Caixa de papelão., Material:Metal,Material: Metal,cardboard box,caixa de papelão,17.0,9.0,9.0,0.001377,9,Individual Size 17x9x9CM,Manutenção automotiva,Em veículos automotores compatíveis,Revenda online,"160 - CHINA, REPÚBLICA POPULAR","Tianmen Fengcheng Trading Co. Ltd.
","Tianmen Fengcheng Trading Co. Ltd.
","Jingling Street, E-Commerce Industrial Park",S/N,Tianmen,Room 301,Hubei Province,Conjunto de rodas de rolamento livre para veículos 4x4.,Conjunto de rodas livres para veículos 4x4. Material: Metal. Dimensões individuais: 17x9x9cm. Embalagem: Caixa de papelão.,,,,,147.7,24.0,cadastro_fotos/367-K.png
368,Idle Speed Actuator for vehicle,Manutenção automotiva,"Tianmen Fengcheng Trading Co. Ltd.
",90.78,24.0,,"Atuador de marcha lenta para veículos, Material: Metal e borracha, Tamanho individual 14x6x5CM, caixa de papelão",,,,25/03/2026 12:53,368,SKU 368,368,SKU 368,Idle Speed Actuator for vehicle,"Idle Speed Actuator for vehicle,  Material: Metal and rubber, Individual Size 14x6x5CM, cardboard box","Atuador de marcha lenta para veículos, Material: Metal e borracha, Tamanho individual 14x6x5CM, caixa de papelão", Material: Metal and rubber,Material: Metal e borracha,cardboard box,caixa de papelão,14.0,6.0,5.0,0.00042,225,Individual Size 14x6x5CM,Manutenção automotiva,Em veículos automotores compatíveis,Revenda online,"160 - CHINA, REPÚBLICA POPULAR","Tianmen Fengcheng Trading Co. Ltd.
","Tianmen Fengcheng Trading Co. Ltd.
","Jingling Street, E-Commerce Industrial Park",S/N,Tianmen,Room 301,Hubei Province,Atuador de marcha lenta para veículos,"Atuador de marcha lenta para veículos, Material: Metal e borracha, Tamanho individual 14x6x5CM, caixa de papelão",,,,,90.78,24.0,cadastro_fotos/368.png
369,Vehicle water pump bypass pipe,Manutenção automotiva,"Tianmen Fengcheng Trading Co. Ltd.
",27.39,24.0,,"Tubo de desvio da bomba de água do veículo, Material: Metal, caixa de papelão",MLB2139730005,MLB2139730005|MLB3569981471|MLB4007049949,3.0,25/03/2026 12:53,369,SKU 369,369,SKU 369,Vehicle water pump bypass pipe,"Vehicle water pump bypass pipe,  Material:Metal, cardboard box","Tubo de desvio da bomba de água do veículo, Material: Metal, caixa de papelão", Material:Metal,Material: Metal,cardboard box,caixa de papelão,,,,0.0,,Individual Size xxCM,Manutenção automotiva,Em veículos automotores compatíveis,Revenda online,"160 - CHINA, REPÚBLICA POPULAR","Tianmen Fengcheng Trading Co. Ltd.
","Tianmen Fengcheng Trading Co. Ltd.
","Jingling Street, E-Commerce Industrial Park",S/N,Tianmen,Room 301,Hubei Province,Tubo de desvio da bomba de água do veículo,"Tubo de desvio da bomba de água do veículo, Material: Metal, caixa de papelão",Tubo Bypass Bomba De Agua Grand Cherokee 3.0 V6 Diesel 2015 || Tubo Bypass Bomba De Agua Grand Cherokee 3.0 V6 Diesel 2015 Preto || Tubo De Agua Da Grand Cherokee E Dodge Ram 3.0 V6 2013-2019,7895139519287|7895141635227,"R$ 16,45|R$ 18,45",Clássico|Premium,27.39,24.0,cadastro_fotos/369.png
